0	2469
0	2476
0	2483
0	2492
0	2498
0	2506
0	2515
0	2529
0	2537
0	2544
0	2550
0	2558
0	2563
0	2563
0	2569
0	2581
0	2586
0	2591
0	2596
0	2602
0	2608
0	2608
0	2608
0	2618
0	2623
0	2628
0	2639
0	2643
0	2650
0	2655
0	2659
0	2666
0	2669
0	2674
0	2678
0	2684
0	2687
0	2691
0	2695
0	2699
0	2703
0	2703
0	2703
0	2703
0	2703
0	2716
0	2719
0	2723
0	2729
0	2732
0	2735
0	2739
0	2741
0	2744
0	2747
0	2750
0	2753
0	2756
0	2759
0	2761
0	2763
0	2765
0	2768
0	2771
0	2773
0	2775
0	2775
0	2780
0	2781
0	2784
0	2786
0	2787
0	2790
0	2790
0	2792
0	2794
0	2795
0	2795
0	2796
0	2796
0	2800
0	2801
0	2802
0	2803
0	2805
0	2806
0	2807
0	2808
0	2809
0	2809
0	2810
0	2810
0	2811
0	2812
0	2813
0	2813
0	2813
0	2814
0	2814
0	2814
0	2814
0	2814
0	2814
0	2814
0	2814
0	2815
0	2814
0	2814
0	2814
0	2814
0	2814
0	2814
0	2814
0	2814
0	2814
0	2814
0	2814
0	2813
0	2814
0	2813
0	2813
0	2813
0	2813
0	2813
0	2813
0	2812
0	2812
0	2812
0	2812
0	2811
0	2812
0	2810
0	2810
0	2810
0	2810
0	2810
0	2810
0	2809
0	2810
0	2809
0	2810
0	2809
0	2809
0	2809
0	2809
0	2809
0	2809
0	2809
0	2809
0	2809
0	2809
0	2809
0	2808
0	2808
0	2809
0	2809
0	2809
0	2808
0	2809
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2809
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2807
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2807
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2807
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2809
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2807
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2807
0	2807
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2807
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2808
0	2807
0	2808
