	0	0.000
6022	-31	0.000
15398	53	0.000
5	0.000
18214	66	0.000
-3420	37	0.000
-13852	-26	0.000
-15815	-53	0.000
4399	0	0.000
15203	0	0.000
8870	69	0.000
5913	0	0.000
-8983	0	0.000
-2320	-19	0.000
2292	-17	0.000
10520	31	0.000
13414	33	0.000
-2379	31	0.000
-10294	-11	0.000
-12561	-36	0.000
7481	-3	0.000
16513	50	0.000
10680	53	0.000
-7552	25	0.000
-14799	-43	0.000
-13167	-47	0.000
7015	-16	0.000
16004	55	0.000
14996	75	0.000
-5619	40	0.000
-14399	-40	0.000
-16957	-63	0.000
4077	-29	0.000
15217	42	0.000
18386	72	0.000
-3476	55	0.000
-13957	-32	0.000
-16544	-55	0.000
4903	-34	0.000
15415	41	0.000
18623	71	0.000
-3765	50	0.000
-13684	-35	0.000
-15877	-57	0.000
4256	-27	0.000
11009	1	0.000
18367	66	0.000
10005	51	0.000
-7436	-2	0.000
-14254	-54	0.000
-4117	-54	0.000
10981	6	0.000
17379	61	0.000
7865	61	0.000
-8145	7	0.000
-14214	-52	0.000
-7151	-52	0.000
9897	4	0.000
17048	60	0.000
8448	60	0.000
-7645	11	0.000
-13901	-49	0.000
-8777	-49	0.000
8803	-2	0.000
16746	58	0.000
10278	58	0.000
-6876	18	0.000
-13544	-44	0.000
-11069	-45	0.000
7303	-12	0.000
16225	55	0.000
13705	61	0.000
-5364	28	0.000
-12949	-37	0.000
-13903	-59	0.000
6161	-23	0.000
15726	51	0.000
17204	68	0.000
-4560	38	0.000
-12905	-31	0.000
-15756	-55	0.000
5153	-33	0.000
15477	46	0.000
18429	69	0.000
-4162	41	0.000
-12850	-28	0.000
-15926	-50	0.000
4569	-37	0.000
15212	43	0.000
18415	70	0.000
-4171	39	0.000
-13108	-24	0.000
-16159	-46	0.000
3492	-36	0.000
14709	40	0.000
18192	63	0.000
-3971	37	0.000
-13284	-19	0.000
-16020	-41	0.000
1155	-35	0.000
13521	33	0.000
17919	59	0.000
-1431	37	0.000
-12856	-11	0.000
-15725	-38	0.000
-933	-38	0.000
12478	22	0.000
17689	50	0.000
1762	36	0.000
-11392	-5	0.000
-15116	-37	0.000
-2263	-37	0.000
11896	14	0.000
17497	40	0.000
4511	0	0.000
-9442	0	0.000
-2582	0	0.000
1826	-17	0.000
3153	21	0.000
9458	21	0.000
-669	12	0.000
-5774	2	0.000
-4348	-5	0.000
102	-3	0.000
4323	12	0.000
5163	16	0.000
271	13	0.000
-3359	2	0.000
-3674	-2	0.000
96	-2	0.000
3319	8	0.000
4304	12	0.000
1252	12	0.000
-1539	5	0.000
-2539	0	0.000
-533	0	0.000
2148	0	0.000
3169	9	0.000
3522	9	0.000
543	7	0.000
-825	0	0.000
-446	0	0.000
2067	0	0.000
3183	7	0.000
3498	8	0.000
1169	7	0.000
-216	3	0.000
-207	2	0.000
1115	3	0.000
2042	5	0.000
1998	6	0.000
1276	6	0.000
583	5	0.000
425	4	0.000
656	5	0.000
1128	5	0.000
957	5	0.000
865	5	0.000
848	5	0.000
811	5	0.000
818	5	0.000
818	5	0.000
818	5	0.000
824	5	0.000
842	5	0.000
820	5	0.000
819	5	0.000
820	5	0.000
833	5	0.000
815	5	0.000
815	5	0.000
789	5	0.000
807	5	0.000
786	5	0.000
821	5	0.000
820	5	0.000
