	0	0.000
636	4	0.000
636	5	0.000
1009	5	0.000
782	4	0.000
690	4	0.000
994	5	0.000
1130	5	0.000
857	4	0.000
707	5	0.000
1004	5	0.000
796	5	0.000
702	5	0.000
685	5	0.000
654	5	0.000
676	5	0.000
640	5	0.000
658	5	0.000
664	5	0.000
664	5	0.000
651	5	0.000
651	5	0.000
657	5	0.000
675	5	0.000
682	5	0.000
646	5	0.000
665	5	0.000
672	5	0.000
654	5	0.000
676	5	0.000
661	5	0.000
668	5	0.000
687	5	0.000
659	5	0.000
659	5	0.000
677	5	0.000
676	5	0.000
648	5	0.000
667	5	0.000
696	5	0.000
649	5	0.000
667	5	0.000
670	5	0.000
670	5	0.000
680	5	0.000
690	5	0.000
654	5	0.000
666	6	0.000
672	6	0.000
347	5	0.000
231	5	0.000
496	6	0.000
496	6	0.000
496	6	0.000
201	5	0.000
152	5	0.000
462	5	0.000
599	5	0.000
674	4	0.000
660	4	0.000
1001	4	0.000
1152	5	0.000
1195	4	0.000
865	4	0.000
1059	5	0.000
1188	5	0.000
874	5	0.000
759	5	0.000
726	5	0.000
725	6	0.000
708	5	0.000
369	5	0.000
514	5	0.000
672	5	0.000
672	5	0.000
719	5	0.000
703	5	0.000
703	5	0.000
702	5	0.000
702	5	0.000
717	5	0.000
701	5	0.000
716	4	0.000
700	4	0.000
1021	5	0.000
1180	5	0.000
909	5	0.000
783	5	0.000
734	5	0.000
754	5	0.000
735	5	0.000
754	5	0.000
755	5	0.000
723	5	0.000
724	5	0.000
726	5	0.000
743	5	0.000
742	5	0.000
729	5	0.000
729	5	0.000
732	5	0.000
735	5	0.000
735	5	0.000
735	5	0.000
754	5	0.000
729	4	0.000
763	4	0.000
1114	5	0.000
1259	5	0.000
957	4	0.000
818	4	0.000
1124	5	0.000
1251	5	0.000
967	5	0.000
854	5	0.000
806	5	0.000
798	5	0.000
806	5	0.000
805	5	0.000
802	5	0.000
820	5	0.000
792	5	0.000
809	5	0.000
800	5	0.000
818	5	0.000
835	5	0.000
808	5	0.000
815	4	0.000
806	5	0.000
1167	5	0.000
953	5	0.000
853	5	0.000
835	5	0.000
826	5	0.000
834	5	0.000
817	5	0.000
827	5	0.000
819	4	0.000
837	4	0.000
1162	5	0.000
1304	5	0.000
1034	5	0.000
894	4	0.000
852	4	0.000
1178	4	0.000
1327	5	0.000
1394	5	0.000
1074	5	0.000
923	5	0.000
880	4	0.000
885	5	0.000
1225	5	0.000
1044	5	0.000
913	5	0.000
923	4	0.000
888	4	0.000
1233	5	0.000
1387	5	0.000
1070	5	0.000
975	5	0.000
937	5	0.000
918	4	0.000
918	4	0.000
1275	5	0.000
1395	5	0.000
1104	5	0.000
971	5	0.000
938	5	0.000
936	5	0.000
938	5	0.000
937	5	0.000
935	4	0.000
966	5	0.000
1285	5	0.000
1110	4	0.000
997	4	0.000
1300	5	0.000
1459	5	0.000
1154	5	0.000
1012	5	0.000
981	5	0.000
981	5	0.000
981	5	0.000
984	4	0.000
984	4	0.000
984	4	0.000
1480	5	0.000
1530	5	0.000
1209	5	0.000
000
000
996	5	0.000
1374	5	0.000
1160	5	0.000
1070	5	0.000
1048	5	0.000
1066	5	0.1036	4	0.1018	5	0.000
1035	5	0.000
1021	5	0.000
1047	5	0.000
1017	5	0.000
1012	5	0.000
1030	5	0.000
1018	5	0.000
1022	4	0.000
1040	5	0.000
1377	5	0.000
1177	5	0.000
1075	5	0.000
1059	5	0.000
1057	5	0.000
1053	5	0.000
1053	5	0.000
1067	5	0.000
1054	5	0.000
1054	5	0.000
1054	5	0.000
1062	5	0.000
1053	5	0.000
1052	5	0.000
1051	5	0.000
1051	5	0.000
